Pearson_L3I,Pearson_L3S,Pearson_L4I,Pearson_L4S,LogPearson_L3I,LogPearson_L3S,LogPearson_L4I,LogPearson_L4S,LogNormal_L3I,LogNormal_L3S,LogNormal_L4I,LogNormal_L4S,Kappa_L3I,Kappa_L3S,Kappa_L4I,Kappa_L4S,GeneralizedPareto_L3I,GeneralizedPareto_L3S,GeneralizedPareto_L4I,GeneralizedPareto_L4S,GeneralizedLogistic_L3I,GeneralizedLogistic_L3S,GeneralizedLogistic_L4I,GeneralizedLogistic_L4S,GeneralizedGamma_L3I,GeneralizedGamma_L3S,GeneralizedGamma_L4I,GeneralizedGamma_L4S,GEV_L3I,GEV_L3S,GEV_L4I,GEV_L4S,EV1_L3I,EV1_L3S,EV1_L4I,EV1_L4S
-1,,1.00062,,-0.453732682,-0.499988731,0.019976365,0.316032122,-1,,0.99809,,-0.990013232,,0.975285369,,-1,,1,,-1,,1,,-0.330010399,-0.330136977,0.165139293,0.166386044,-1,,0.99656,,0.1699,,0.1504,
-0.99,,0.97554086,,-0.403403862,-0.489095253,-0.033205688,0.306279158,-0.99,,0.977024056,,-0.980010352,0.999,0.950861393,0.998334167,-0.99,,0.975187032,,-0.99,,0.983416667,,-0.3280973,-0.326604307,0.163662039,0.168578405,-0.99,,0.974317617,,,,,
-0.98,,0.95101417,,-0.353020111,-0.4782979,-0.080247477,0.299121739,-0.98,,0.956464015,,-0.970000751,0.998,0.926762601,0.99667,-0.98,,0.950746269,,-0.98,,0.967,,-0.308243186,-0.318841005,0.148675606,0.170814916,-0.98,,0.95248131,,,,,
-0.97,,0.927022811,,-0.303357631,-0.467999179,-0.120548086,0.290372888,-0.97,,0.936387189,,-0.960004,0.997,0.902979705,0.9950075,-0.97,,0.926674938,,-0.97,,0.95075,,-0.288583366,-0.294447594,0.134459929,0.172886266,-0.97,,0.931043779,,,,,
-0.96,,0.90355091,,-0.255248585,-0.459188947,-0.153843313,0.284610518,-0.96,,0.916772212,,-0.950006249,0.996,0.879644103,0.993346667,-0.96,,0.902970297,,-0.96,,0.934666667,,-0.268271327,-0.270040276,0.120182452,0.171340016,-0.96,,0.909997906,,,,,
-0.95,,0.880583759,,-0.203644885,-0.449392335,-0.183270451,0.276987074,-0.95,,0.897598975,,-0.940038959,0.995,0.856482767,0.9916875,-0.95,,0.87962963,,-0.95,,0.91875,,-0.248792823,-0.248360106,0.107055726,0.168216637,-0.95,,0.889336749,,,,,
-0.94,,0.858107741,,-0.154619567,-0.437705156,-0.205196273,0.269187367,-0.94,,0.878848569,,-0.93000845,0.994,0.833423333,0.99003,-0.94,,0.856650246,,-0.94,,0.903,,-0.228422451,-0.2248616,0.094136979,0.162140877,-0.94,,0.869053543,,,,,
-0.93,,0.836110252,,-0.102407293,-0.429219746,-0.222080212,0.262698593,-0.93,,0.860503227,,-0.920006442,0.993,0.81097882,0.988374167,-0.93,,0.834029484,,-0.93,,0.887416667,,-0.21093574,-0.199975351,0.083661456,0.157811704,-0.93,,0.849141692,,,,,
-0.92,,0.814579634,,-0.053930376,-0.417952913,-0.231778291,0.255717999,-0.92,,0.84254627,,-0.910035723,0.992,0.788556992,0.98672,-0.92,,0.811764706,,-0.92,,0.872,,-0.191310965,-0.169860931,0.072555823,0.150349974,-0.92,,0.829594772,,,,,
-0.91,,0.793505103,,-0.002678629,-0.408667347,-0.235764226,0.24961942,-0.91,,0.824962051,,-0.900087675,0.991,0.766816444,0.9850675,-0.91,,0.789853301,,-0.91,,0.85675,,-0.170483447,-0.149132075,0.061515101,0.145086749,-0.91,,0.810406521,,,,,
-0.9,,0.772876689,,0.004879553,-0.399745957,-0.235806507,0.243899149,-0.9,,0.807735908,,-0.890045157,0.99,0.744722712,0.983416667,-0.9,,0.768292683,,-0.9,,0.841666667,,-0.150391036,-0.124991951,0.051590283,0.13911716,-0.9,,0.791570841,,,,,
-0.89,,0.752685171,,0.051521817,-0.389562006,-0.232961694,0.237635792,-0.89,,0.790854109,,-0.880024711,0.989,0.722912641,0.9817675,-0.89,,0.747080292,,-0.89,,0.82675,,-0.128280009,-0.099976086,0.042627369,0.133639271,-0.89,,0.773081794,,,,,
-0.88,,0.732922017,,0.100467127,-0.37984884,-0.224222722,0.231054003,-0.88,,0.774303809,,-0.870092407,0.988,0.702010464,0.98012,-0.88,,0.726213592,,-0.88,,0.812,,-0.108103336,-0.079954376,0.034227362,0.129822018,-0.88,,0.754933597,,,,,
-0.87,,0.713579331,,0.15184064,-0.369957479,-0.208702131,0.225465197,-0.87,,0.758073001,,-0.860049744,0.987,0.680630144,0.978474167,-0.87,,0.705690073,,-0.87,,0.797416667,,-0.08841782,-0.059982467,0.026739209,0.126746407,-0.87,,0.737120623,,,,,
-0.86,,0.694649797,,0.205775319,-0.359977343,-0.185399279,0.220056193,-0.86,,0.742150474,,-0.85005477,0.986,0.660144216,0.97683,-0.86,,0.685507246,,-0.86,,0.783,,-0.070177812,-0.03999731,0.019556092,0.12446908,-0.86,,0.719637393,,,,,
-0.85,,0.676126628,,0.252779042,-0.347109209,-0.159225587,0.212604747,-0.85,,0.726525769,,-0.84001846,0.985,0.639250953,0.9751875,-0.85,,0.665662651,,-0.85,,0.76875,,-0.048563962,-0.019946858,0.013751968,0.123026923,-0.85,,0.702478578,,,,,
-0.84,,0.658003519,,0.301745908,-0.339952482,-0.12613773,0.208865202,-0.84,,0.711189138,,-0.830043752,0.984,0.61934442,0.973546667,-0.84,,0.646153846,,-0.84,,0.754666667,,-0.033914678,0.019433575,0.008292962,0.122988912,-0.84,,0.685638992,,,,,
-0.83,,0.640274599,,0.352767093,-0.329506214,-0.085329889,0.20249253,-0.83,,0.696131504,,-0.820022535,0.983,0.598951587,0.9719075,-0.83,,0.626978417,,-0.83,,0.74075,,-0.012045343,0.039779994,0.00281318,0.124450892,-0.83,,0.669113593,,,,,
-0.82,,0.622934388,,0.405938695,-0.319941764,-0.035910803,0.19834441,-0.82,,0.681344426,,-0.810059955,0.982,0.579597862,0.97027,-0.82,,0.608133971,,-0.82,,0.727,,0.011852528,0.059984811,-0.001689754,0.126730941,-0.82,,0.652897478,,,,,
-0.81,,0.605977757,,0.450092187,-0.30971728,0.01048376,0.193822417,-0.81,,0.66682006,,-0.80006019,0.981,0.559714357,0.968634167,-0.81,,0.589618138,,-0.81,,0.713416667,,0.031663427,0.07968941,-0.004800409,0.129826426,-0.81,,0.63698588,,,,,
-0.8,,0.589399887,,0.507393636,-0.299265591,0.077958396,0.188875757,-0.8,,0.652551124,,-0.790021917,0.98,0.54074031,0.967,-0.8,,0.571428571,,-0.8,,0.7,,0.051878173,0.099514481,-0.007182447,0.13380316,-0.8,,0.621374165,,,,,
-0.79,,0.573196235,,0.554992121,-0.289441925,0.140261878,0.184390976,-0.79,,0.638530868,,-0.780058874,0.979,0.521393351,0.9653675,-0.79,,0.553562945,,-0.79,,0.68675,,0.071497956,0.119064666,-0.008720055,0.138463548,-0.79,,0.606057833,,,,,
-0.78,,0.557362495,,0.604217535,-0.279541621,0.210680405,0.179951906,-0.78,,0.624753038,,-0.770033438,0.978,0.502964406,0.963736667,-0.78,,0.536018957,,-0.78,,0.673666667,,0.091596173,0.139161456,-0.009494604,0.14407318,-0.78,,0.591032509,,,,,
-0.77,,0.54189457,,0.655132616,-0.269800289,0.289935224,0.175739428,-0.77,,0.611211847,,-0.760026534,0.977,0.484862391,0.9621075,-0.77,,0.518794326,,-0.77,,0.66075,,0.100713358,0.159904818,-0.009576173,0.150535769,-0.77,,0.576293947,,,,,
-0.76,,0.526788539,,0.707802959,-0.259282555,0.378809628,0.171613882,-0.76,,0.597901947,,-0.750054874,0.976,0.466188588,0.96048,-0.76,,0.501886792,,-0.76,,0.648,,0.112006119,0.179195577,-0.009441817,0.157481482,-0.76,,0.561838022,,,,,
-0.75,,0.512040629,,0.762297139,-0.249517278,0.478154693,0.167643388,-0.75,,0.5848184,,-0.740114061,0.975,0.448714284,0.958854167,-0.75,,0.485294118,,-0.75,,0.635416667,,0.132518331,0.197917973,-0.008525901,0.16478288,-0.75,,0.54766073,,,,,
-0.74,,0.497647187,,0.804407799,-0.239904544,0.560088197,0.164117233,-0.74,,0.571956649,,-0.730021227,0.974,0.430296962,0.95723,-0.74,,0.469014085,,-0.74,,0.623,,0.152878523,0.217030257,-0.006750532,0.172808647,-0.74,,0.533758186,,,,,
-0.73,,0.483604658,,0.850536566,-0.22995476,0.655020875,0.160544608,-0.73,,0.559312499,,-0.720034336,0.973,0.413252255,0.9556075,-0.73,,0.453044496,,-0.73,,0.61075,,0.172787928,0.239867217,-0.004169396,0.181696155,-0.73,,0.520126618,,,,,
-0.72,,0.46990956,,0.900961297,-0.219165441,0.765008511,0.15691985,-0.72,,0.546882084,,-0.710107055,0.972,0.395587789,0.953986667,-0.72,,0.437383178,,-0.72,,0.598666667,,0.193149941,0.259922421,-0.000654364,0.192200605,-0.72,,0.506762371,,,,,
-0.71,,0.456558462,,0.950007,-0.209430518,0.881201204,0.153682066,-0.71,,0.534661851,,-0.700111767,0.971,0.379033215,0.9523675,-0.71,,0.422027972,,-0.71,,0.58675,,0.212662024,0.27989669,0.002987871,0.2031542,-0.71,,0.493661896,,,,,
-0.7,,0.443547969,,1,-0.199135376,1,0.150496174,-0.7,,0.522648534,,-0.690093021,0.97,0.361686529,0.95075,-0.7,,0.406976744,,-0.7,,0.575,,0.232098738,0.299826866,0.008000108,0.214848712,-0.7,,0.480821754,,,,,
-0.69,,0.430874695,,,-0.189718106,,0.147731536,-0.69,,0.510839137,,-0.680092115,0.969,0.345628042,0.949134167,-0.69,,0.392227378,,-0.69,,0.563416667,,0.252200008,0.319933198,0.014063696,0.227154454,-0.69,,0.468238613,,,,,
